x,y,RSSIA,RSSIB,RSSIC,RP
0.55,0.64,53,41,66,A1
3.88,1.9,42,45,49,C2
3.88,3.17,57,56,50,C3
0.55,0.64,54,57,60,A1
1.66,3.17,40,57,41,B1
2.77,1.9,53,55,51,B3
2.77,0.64,53,44,63,B2
3.88,3.17,53,56,51,C3
3.88,1.9,48,62,50,C2
2.77,3.17,48,52,63,B4
1.66,1.9,47,55,54,A4
3.88,0.64,42,48,51,C1
3.88,3.17,55,51,51,C3
0.55,0.64,43,46,62,A1
3.88,1.9,53,45,56,C2
2.77,3.17,51,49,64,B4
2.77,0.64,49,43,65,B2
3.88,3.17,58,46,50,C3
2.77,3.17,43,52,61,B4
0.55,0.64,57,42,64,A1
2.77,0.64,50,43,55,B2
0.55,0.64,43,44,65,A1
0.55,1.9,46,56,56,A2
2.77,3.17,49,48,64,B4
2.77,0.64,47,47,54,B2
0.55,1.9,44,56,52,A2
0.55,0.64,48,40,40,A1
2.77,0.64,48,44,64,B2
1.66,3.17,38,59,38,B1
3.88,3.17,57,53,51,C3
0.55,0.64,55,41,62,A1
2.77,0.64,46,44,61,B2
3.88,1.9,42,48,50,C2
1.66,3.17,40,60,47,B1
3.88,3.17,56,54,52,C3
1.66,3.17,41,61,43,B1
0.55,1.9,39,53,55,A2
2.77,3.17,47,50,63,B4
2.77,3.17,55,50,65,B4
0.55,0.64,52,41,62,A1
2.77,0.64,47,48,62,B2
1.66,0.64,54,44,55,A3
0.55,0.64,45,44,65,A1
0.55,0.64,50,42,61,A1
0.55,1.9,45,55,55,A2
3.88,1.9,45,46,50,C2
3.88,1.9,45,44,54,C2
3.88,3.17,43,56,52,C3
0.55,1.9,50,55,56,A2
2.77,0.64,45,42,33,B2
0.55,0.64,50,42,64,A1
3.88,1.9,41,50,39,C2
3.88,1.9,45,48,50,C2
3.88,1.9,44,46,50,C2
2.77,1.9,50,56,53,B3
2.77,0.64,54,41,65,B2
3.88,3.17,56,56,52,C3
2.77,0.64,47,41,65,B2
2.77,1.9,49,48,63,B3
2.77,1.9,52,49,55,B3
3.88,3.17,42,60,51,C3
0.55,1.9,49,56,57,A2
3.88,3.17,56,56,50,C3
3.88,3.17,43,53,51,C3
1.66,3.17,53,57,52,B1
0.55,0.64,47,41,67,A1
1.66,0.64,45,46,62,A3
2.77,0.64,50,42,62,B2
2.77,3.17,48,54,54,B4
3.88,1.9,48,48,50,C2
2.77,0.64,53,44,65,B2
0.55,1.9,41,54,54,A2
2.77,3.17,46,50,65,B4
2.77,3.17,47,50,65,B4
3.88,0.64,43,62,60,C1
3.88,3.17,57,61,51,C3
1.66,1.9,42,46,53,A4
2.77,0.64,48,45,64,B2
0.55,0.64,54,41,63,A1
1.66,3.17,42,64,38,B1
2.77,3.17,50,61,61,B4
2.77,0.64,44,46,54,B2
3.88,3.17,42,56,49,C3
2.77,3.17,49,51,51,B4
1.66,0.64,42,60,55,A3
0.55,0.64,56,42,62,A1
3.88,1.9,47,47,50,C2
0.55,0.64,52,47,65,A1
2.77,1.9,48,50,51,B3
0.55,0.64,50,44,66,A1
3.88,3.17,56,53,52,C3
2.77,3.17,45,49,55,B4
0.55,0.64,48,44,63,A1
2.77,0.64,50,46,65,B2
2.77,0.64,44,45,63,B2
3.88,3.17,55,55,50,C3
3.88,0.64,52,44,44,C1
0.55,0.64,55,43,64,A1
3.88,1.9,48,46,50,C2
3.88,3.17,56,55,52,C3
