x,y,RSSIA,RSSIB,RSSIC,RP
3.88,3.17,57,56,52,C4
2.77,3.17,50,51,64,C1
3.88,1.9,43,46,50,C3
1.66,3.17,40,53,50,B2
3.88,3.17,53,60,52,C4
0.55,1.9,44,46,60,A2
0.55,1.9,45,54,55,A2
0.55,0.64,56,43,63,A1
2.77,0.64,54,46,63,B3
2.77,0.64,50,42,59,B3
0.55,0.64,52,41,62,A1
3.88,0.64,45,45,50,C2
2.77,3.17,40,51,56,C1
3.88,1.9,46,45,50,C3
2.77,0.64,48,45,60,B3
2.77,1.9,49,50,63,B4
3.88,1.9,52,48,51,C3
2.77,0.64,48,56,55,B3
2.77,3.17,52,48,64,C1
3.88,0.64,56,47,61,C2
3.88,3.17,42,53,51,C4
0.55,0.64,50,43,64,A1
3.88,1.9,45,46,51,C3
3.88,0.64,45,49,50,C2
2.77,0.64,53,45,62,B3
0.55,1.9,47,54,45,A2
0.55,3.17,37,55,54,A3
2.77,0.64,51,46,60,B3
1.66,3.17,38,44,37,B2
3.88,1.9,47,57,50,C3
3.88,1.9,51,49,51,C3
3.88,3.17,54,54,51,C4
3.88,1.9,44,45,49,C3
1.66,0.64,47,48,49,A4
3.88,0.64,43,58,51,C2
2.77,0.64,50,43,42,B3
3.88,3.17,56,55,50,C4
1.66,0.64,42,46,57,A4
3.88,3.17,55,55,51,C4
0.55,0.64,50,42,67,A1
2.77,0.64,46,46,55,B3
3.88,0.64,52,46,50,C2
2.77,1.9,43,54,55,B4
2.77,0.64,46,46,60,B3
3.88,1.9,44,46,51,C3
2.77,1.9,52,45,34,B4
0.55,0.64,54,44,55,A1
3.88,1.9,42,49,51,C3
3.88,3.17,56,54,55,C4
1.66,0.64,43,45,57,A4
3.88,3.17,57,57,52,C4
0.55,1.9,46,55,46,A2
2.77,1.9,45,42,44,B4
1.66,3.17,39,49,41,B2
3.88,3.17,56,47,51,C4
0.55,1.9,50,57,57,A2
0.55,1.9,43,53,64,A2
0.55,1.9,44,55,56,A2
1.66,3.17,42,56,32,B2
2.77,0.64,53,41,62,B3
2.77,0.64,51,44,58,B3
1.66,3.17,41,61,37,B2
0.55,1.9,44,46,54,A2
3.88,1.9,46,47,50,C3
2.77,1.9,45,50,62,B4
0.55,0.64,44,45,65,A1
3.88,1.9,47,47,51,C3
2.77,1.9,46,55,61,B4
3.88,3.17,55,56,51,C4
2.77,3.17,47,51,63,C1
2.77,0.64,54,43,64,B3
0.55,1.9,43,54,54,A2
0.55,0.64,50,39,65,A1
3.88,0.64,49,44,62,C2
2.77,1.9,46,51,56,B4
2.77,1.9,46,48,44,B4
2.77,3.17,36,50,60,C1
2.77,0.64,52,44,63,B3
1.66,3.17,39,60,51,B2
3.88,0.64,55,44,65,C2
2.77,0.64,53,45,67,B3
0.55,0.64,55,41,64,A1
3.88,1.9,38,47,51,C3
2.77,0.64,53,43,60,B3
2.77,1.9,50,50,62,B4
0.55,0.64,46,52,63,A1
2.77,3.17,42,54,63,C1
3.88,3.17,57,56,51,C4
3.88,1.9,54,45,50,C3
3.88,3.17,56,60,50,C4
1.66,0.64,53,43,61,A4
