x,y,RSSIA,RSSIB,RSSIC,RP
1.66,1.9,53,57,66,B1
1.66,0.64,57,57,56,A4
3.88,3.17,46,48,44,C4
1.66,1.9,52,37,75,B1
0.55,3.17,47,45,40,A3
2.77,3.17,52,41,53,C1
2.77,1.9,42,61,48,B4
3.88,1.9,23,51,43,C3
0.55,0.64,47,46,66,A1
0.55,0.64,56,50,62,A1
3.88,3.17,51,48,55,C4
0.55,3.17,43,39,49,A3
2.77,1.9,51,54,64,B4
2.77,0.64,50,50,64,B3
3.88,3.17,54,59,61,C4
1.66,3.17,55,65,54,B2
2.77,0.64,50,52,38,B3
1.66,0.64,59,44,45,A4
2.77,1.9,47,46,65,B4
1.66,1.9,55,39,49,B1
3.88,1.9,60,63,76,C3
1.66,0.64,40,62,47,A4
1.66,3.17,48,48,60,B2
2.77,1.9,60,47,70,B4
0.55,3.17,41,61,46,A3
3.88,0.64,50,43,53,C2
2.77,3.17,43,45,60,C1
3.88,3.17,53,51,42,C4
0.55,1.9,46,44,45,A2
1.66,3.17,39,45,51,B2
1.66,3.17,57,67,55,B2
3.88,0.64,32,47,45,C2
3.88,1.9,58,44,46,C3
1.66,3.17,55,52,53,B2
1.66,3.17,55,51,41,B2
1.66,1.9,59,50,62,B1
0.55,1.9,49,46,40,A2
1.66,3.17,40,44,49,B2
2.77,0.64,52,65,60,B3
3.88,0.64,51,52,57,C2
0.55,1.9,50,22,53,A2
1.66,3.17,52,45,61,B2
2.77,3.17,52,57,68,C1
1.66,1.9,51,40,62,B1
1.66,0.64,45,53,42,A4
2.77,1.9,52,44,73,B4
2.77,0.64,52,53,48,B3
3.88,3.17,50,39,70,C4
1.66,3.17,50,39,59,B2
3.88,3.17,49,46,45,C4
0.55,1.9,52,46,50,A2
0.55,0.64,42,41,69,A1
3.88,3.17,56,40,69,C4
3.88,1.9,54,69,51,C3
1.66,3.17,48,41,40,B2
3.88,0.64,57,48,47,C2
0.55,1.9,54,47,53,A2
3.88,1.9,54,44,55,C3
0.55,1.9,51,49,49,A2
2.77,0.64,47,68,76,B3
2.77,3.17,32,52,47,C1
3.88,0.64,34,50,55,C2
0.55,3.17,52,53,56,A3
2.77,3.17,57,54,48,C1
3.88,1.9,54,60,50,C3
3.88,0.64,52,39,46,C2
0.55,3.17,58,60,55,A3
1.66,1.9,47,43,71,B1
3.88,1.9,56,40,65,C3
3.88,0.64,54,43,61,C2
2.77,0.64,52,50,49,B3
2.77,0.64,59,53,60,B3
3.88,0.64,47,42,44,C2
0.55,0.64,47,52,55,A1
0.55,0.64,52,40,45,A1
2.77,0.64,56,28,52,B3
2.77,0.64,54,70,44,B3
0.55,3.17,52,37,57,A3
2.77,0.64,53,43,61,B3
3.88,3.17,42,41,62,C4
0.55,3.17,55,42,68,A3
3.88,0.64,52,47,51,C2
3.88,3.17,54,42,32,C4
1.66,3.17,56,58,59,B2
0.55,0.64,44,51,39,A1
2.77,1.9,57,71,61,B4
0.55,3.17,45,44,53,A3
2.77,3.17,54,49,57,C1
1.66,1.9,51,54,77,B1
3.88,1.9,55,49,36,C3
0.55,1.9,48,44,57,A2
0.55,1.9,45,46,42,A2
2.77,3.17,45,48,48,C1
3.88,3.17,60,46,56,C4
1.66,0.64,43,48,70,A4
3.88,1.9,47,47,31,C3
0.55,1.9,45,50,34,A2
0.55,0.64,44,40,52,A1
3.88,1.9,53,41,75,C3
2.77,3.17,46,51,50,C1
2.77,1.9,58,42,55,B4
0.55,1.9,43,43,58,A2
3.88,3.17,57,63,47,C4
3.88,0.64,59,55,63,C2
0.55,3.17,47,49,60,A3
2.77,3.17,58,51,48,C1
3.88,3.17,53,57,52,C4
2.77,1.9,39,56,47,B4
3.88,3.17,35,43,52,C4
2.77,1.9,46,44,59,B4
0.55,0.64,54,70,50,A1
1.66,0.64,52,63,46,A4
0.55,0.64,29,40,69,A1
3.88,0.64,51,42,53,C2
3.88,1.9,43,41,37,C3
3.88,3.17,53,43,50,C4
3.88,1.9,36,39,62,C3
3.88,3.17,43,44,51,C4
1.66,0.64,51,24,54,A4
3.88,3.17,44,64,43,C4
3.88,3.17,46,42,57,C4
1.66,1.9,34,47,56,B1
1.66,3.17,51,54,75,B2
2.77,3.17,61,55,63,C1
0.55,1.9,34,38,57,A2
1.66,1.9,52,38,43,B1
0.55,0.64,52,38,75,A1
0.55,0.64,54,60,33,A1
1.66,1.9,51,39,51,B1
0.55,1.9,49,52,56,A2
2.77,1.9,40,39,57,B4
3.88,1.9,59,50,53,C3
0.55,3.17,55,58,49,A3
0.55,0.64,49,47,55,A1
0.55,3.17,59,47,52,A3
2.77,1.9,32,51,57,B4
3.88,3.17,42,50,52,C4
2.77,0.64,59,61,35,B3
3.88,0.64,63,41,56,C2
0.55,0.64,56,52,59,A1
2.77,3.17,43,43,37,C1
3.88,1.9,46,39,46,C3
1.66,3.17,12,51,49,B2
0.55,1.9,58,30,49,A2
