x,y,RSSIA,RSSIB,RSSIC,RP
2.77,3.17,52,48,66,C1
0.55,0.64,58,44,60,A1
2.77,0.64,48,45,64,B3
1.66,3.17,41,57,34,B2
0.55,1.9,48,54,56,A2
3.88,3.17,56,60,51,C4
0.55,1.9,50,57,43,A2
3.88,1.9,42,44,51,C3
0.55,0.64,51,41,67,A1
1.66,3.17,39,60,49,B2
0.55,1.9,37,56,58,A2
0.55,1.9,40,53,56,A2
3.88,3.17,55,56,42,C4
0.55,0.64,47,55,64,A1
3.88,0.64,43,44,50,C2
3.88,1.9,40,47,51,C3
2.77,0.64,54,45,64,B3
2.77,3.17,48,55,63,C1
2.77,1.9,49,54,54,B4
0.55,1.9,40,55,45,A2
2.77,1.9,51,51,56,B4
2.77,0.64,45,46,56,B3
1.66,3.17,39,59,36,B2
1.66,1.9,39,57,46,B1
3.88,3.17,56,45,51,C4
3.88,1.9,44,47,56,C3
3.88,3.17,45,58,51,C4
3.88,1.9,48,47,51,C3
2.77,0.64,53,45,63,B3
0.55,0.64,57,41,64,A1
0.55,1.9,41,58,54,A2
0.55,1.9,53,50,54,A2
3.88,1.9,45,65,50,C3
0.55,1.9,50,51,45,A2
1.66,0.64,52,41,57,A4
2.77,0.64,46,43,62,B3
2.77,1.9,49,55,33,B4
3.88,0.64,40,48,50,C2
2.77,0.64,53,45,61,B3
3.88,1.9,56,48,50,C3
0.55,0.64,49,44,63,A1
2.77,3.17,48,51,55,C1
0.55,1.9,48,56,64,A2
1.66,3.17,53,57,37,B2
2.77,3.17,48,50,66,C1
2.77,0.64,48,47,62,B3
3.88,3.17,56,56,52,C4
2.77,1.9,49,58,61,B4
2.77,3.17,48,49,61,C1
2.77,1.9,51,56,54,B4
3.88,0.64,50,45,51,C2
2.77,0.64,52,43,61,B3
2.77,0.64,53,47,60,B3
2.77,1.9,46,51,55,B4
2.77,0.64,43,44,53,B3
2.77,0.64,56,45,65,B3
2.77,1.9,48,49,55,B4
3.88,3.17,53,58,51,C4
2.77,3.17,48,48,63,C1
2.77,3.17,48,51,57,C1
3.88,3.17,56,53,51,C4
0.55,0.64,51,46,61,A1
3.88,3.17,55,54,51,C4
2.77,0.64,53,46,62,B3
2.77,0.64,48,43,64,B3
3.88,1.9,54,50,51,C3
1.66,3.17,37,50,37,B2
2.77,3.17,41,50,61,C1
3.88,0.64,44,41,55,C2
0.55,0.64,50,44,41,A1
2.77,0.64,52,44,61,B3
3.88,3.17,57,60,51,C4
3.88,1.9,42,45,52,C3
3.88,3.17,54,54,49,C4
3.88,1.9,49,50,50,C3
3.88,1.9,39,43,50,C3
2.77,3.17,49,50,64,C1
3.88,3.17,58,59,52,C4
3.88,1.9,41,44,51,C3
0.55,1.9,45,50,43,A2
3.88,1.9,43,47,50,C3
3.88,1.9,48,48,39,C3
2.77,0.64,51,48,65,B3
0.55,0.64,51,45,65,A1
2.77,3.17,42,50,56,C1
0.55,1.9,47,58,57,A2
3.88,1.9,47,44,52,C3
3.88,1.9,50,46,54,C3
0.55,0.64,51,43,61,A1
0.55,0.64,51,45,62,A1
0.55,0.64,39,45,65,A1
2.77,1.9,42,49,63,B4
0.55,1.9,49,52,55,A2
2.77,0.64,52,43,63,B3
1.66,3.17,38,57,39,B2
1.66,3.17,37,55,41,B2
2.77,1.9,44,51,40,B4
3.88,1.9,51,48,49,C3
